id,name,height,weight,base_experience,types,abilities,moves,gender_rate,male_pct,female_pct,genderless,capture_rate,is_legendary,is_mythical,generation,good_against_types,weak_to_types,resist_to_types,immune_to_types,sprite_url,evolves_from,evolves_to,can_evolve,evolution_details,encounter_locations,encounter_versions,stat_hp,stat_attack,stat_defense,stat_special-attack,stat_special-defense,stat_speed
56,mankey,5,280,61,fighting,"vital-spirit,anger-point,defiant","karate-chop,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,scratch,mega-kick,headbutt,body-slam,take-down,thrash,double-edge,leer,submission,low-kick,counter,seismic-toss,strength,thunderbolt,thunder,earthquake,dig,toxic,meditate,rage,mimic,screech,double-team,defense-curl,focus-energy,bide,metronome,swift,skull-bash,fury-swipes,rest,rock-slide,substitute,thief,snore,curse,reversal,spite,protect,scary-face,mud-slap,foresight,detect,outrage,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,encore,pursuit,iron-tail,hidden-power,cross-chop,rain-dance,sunny-day,psych-up,rock-smash,beat-up,uproar,facade,focus-punch,smelling-salts,taunt,helping-hand,role-play,revenge,brick-break,endeavor,secret-power,overheat,rock-tomb,aerial-ace,bulk-up,covet,natural-gift,u-turn,close-combat,payback,assurance,fling,punishment,poison-jab,night-slash,seed-bomb,drain-punch,vacuum-wave,focus-blast,shadow-claw,rock-climb,gunk-shot,stone-edge,captivate,hone-claws,smack-down,low-sweep,round,acrobatics,retaliate,final-gambit,bulldoze,work-up,dual-chop,confide,power-up-punch,throat-chop,power-trip,stomping-tantrum,lash-out,tera-blast",4,50.0,50.0,False,190,False,False,generation-i,"dark,ice,normal,rock,steel","fairy,flying,psychic","bug,dark,rock",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,,primeape,True,primeape por level-up (nivel 28),"alola-route-3-north,alola-route-3-south,johto-route-42-area,kanto-route-22-area,kanto-route-23-area,kanto-route-3-area,kanto-route-4-area,kanto-route-5-area,kanto-route-6-area,kanto-route-7-area,kanto-route-8-area,kanto-route-9-area,rock-tunnel-1f,rock-tunnel-b1f,sinnoh-route-225-area,sinnoh-sea-route-226-area","diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,sun,ultra-moon,ultra-sun,yellow",40,80,35,35,45,70
57,primeape,10,320,159,fighting,"vital-spirit,anger-point,defiant","karate-chop,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,scratch,mega-kick,headbutt,body-slam,take-down,thrash,double-edge,leer,hyper-beam,submission,low-kick,counter,seismic-toss,strength,thunderbolt,thunder,earthquake,dig,toxic,rage,mimic,screech,double-team,defense-curl,focus-energy,bide,metronome,swift,skull-bash,fury-swipes,rest,rock-slide,substitute,thief,snore,curse,reversal,spite,protect,scary-face,mud-slap,detect,outrage,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,encore,pursuit,iron-tail,hidden-power,cross-chop,rain-dance,sunny-day,psych-up,rock-smash,uproar,facade,focus-punch,taunt,helping-hand,role-play,brick-break,endeavor,secret-power,overheat,rock-tomb,aerial-ace,bulk-up,covet,natural-gift,u-turn,close-combat,payback,assurance,fling,punishment,poison-jab,seed-bomb,drain-punch,vacuum-wave,focus-blast,giga-impact,shadow-claw,rock-climb,gunk-shot,stone-edge,captivate,stealth-rock,hone-claws,smack-down,low-sweep,round,acrobatics,retaliate,final-gambit,bulldoze,work-up,dual-chop,confide,power-up-punch,throat-chop,stomping-tantrum,lash-out,tera-blast,rage-fist",4,50.0,50.0,False,75,False,False,generation-i,"dark,ice,normal,rock,steel","fairy,flying,psychic","bug,dark,rock",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,mankey,annihilape,True,annihilape por other (sin condiciones adicionales),"cerulean-cave-1f,kanto-route-23-area,kanto-route-9-area,kanto-victory-road-2-2f,poni-plains-west,sinnoh-route-225-area,sinnoh-sea-route-226-area","diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,sun,ultra-moon,ultra-sun,yellow",65,105,60,60,70,95
58,growlithe,7,190,70,fire,"intimidate,flash-fire,justified","double-kick,headbutt,body-slam,take-down,thrash,double-edge,leer,bite,roar,ember,flamethrower,strength,dragon-rage,fire-spin,dig,toxic,agility,rage,mimic,double-team,reflect,bide,fire-blast,swift,skull-bash,rest,substitute,thief,flame-wheel,snore,curse,reversal,protect,scary-face,mud-slap,outrage,endure,charm,swagger,attract,sleep-talk,return,frustration,safeguard,dragon-breath,iron-tail,morning-sun,hidden-power,sunny-day,crunch,rock-smash,heat-wave,will-o-wisp,facade,helping-hand,secret-power,overheat,odor-sleuth,aerial-ace,howl,covet,natural-gift,close-combat,flare-blitz,thunder-fang,fire-fang,captivate,flame-burst,flame-charge,round,incinerate,retaliate,wild-charge,snarl,play-rough,confide,burn-up,psychic-fangs,raging-fury,tera-blast,temper-flare",2,75.0,25.0,False,190,False,False,generation-i,"bug,grass,ice,steel","ground,rock,water","bug,fairy,fire,grass,ice,steel",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,,arcanine,True,arcanine por use-item (objeto fire-stone),"alola-route-2-north,johto-route-35-area,johto-route-36-area,johto-route-37-area,johto-route-48-area,kanto-route-7-area,kanto-route-8-area,pokemon-mansion-1f,pokemon-mansion-2f,pokemon-mansion-3f,pokemon-mansion-b1f,sinnoh-route-201-area,sinnoh-route-202-area,virbank-complex-inner","black-2,crystal,diamond,firered,gold,heartgold,moon,pearl,platinum,red,sun,ultra-moon,ultra-sun,white-2,yellow",55,70,45,70,50,60
59,arcanine,19,1550,194,fire,"intimidate,flash-fire,justified","headbutt,body-slam,take-down,double-edge,leer,bite,roar,ember,flamethrower,hyper-beam,strength,solar-beam,dragon-rage,fire-spin,dig,toxic,agility,rage,teleport,mimic,double-team,reflect,bide,fire-blast,swift,skull-bash,rest,substitute,thief,flame-wheel,snore,curse,reversal,protect,scary-face,mud-slap,outrage,endure,charm,swagger,attract,sleep-talk,return,frustration,safeguard,dragon-breath,iron-tail,hidden-power,sunny-day,crunch,extreme-speed,rock-smash,heat-wave,will-o-wisp,facade,helping-hand,superpower,secret-power,hyper-voice,overheat,odor-sleuth,aerial-ace,howl,covet,natural-gift,close-combat,flare-blitz,dragon-pulse,giga-impact,thunder-fang,fire-fang,rock-climb,iron-head,captivate,flame-charge,round,incinerate,retaliate,bulldoze,wild-charge,heat-crash,snarl,play-rough,confide,laser-focus,burn-up,psychic-fangs,scorching-sands,tera-blast,temper-flare",2,75.0,25.0,False,75,False,False,generation-i,"bug,grass,ice,steel","ground,rock,water","bug,fairy,fire,grass,ice,steel",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,growlithe,,False,,,,90,110,80,100,80,95
60,poliwag,6,124,60,water,"water-absorb,damp,swift-swim","pound,double-slap,headbutt,body-slam,take-down,double-edge,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,low-kick,dig,toxic,psychic,hypnosis,rage,mimic,double-team,defense-curl,haze,bide,waterfall,swift,skull-bash,amnesia,bubble,psywave,splash,rest,substitute,thief,mind-reader,snore,curse,protect,belly-drum,mud-slap,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,encore,hidden-power,rain-dance,whirlpool,hail,facade,focus-punch,helping-hand,endeavor,refresh,secret-power,dive,ice-ball,weather-ball,muddy-water,mud-shot,water-sport,water-pulse,wake-up-slap,natural-gift,earth-power,mud-bomb,captivate,round,scald,bulldoze,confide,liquidation,tera-blast,chilling-water",4,50.0,50.0,False,255,False,False,generation-i,"fire,ground,rock","electric,grass","fire,ice,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,,poliwhirl,True,poliwhirl por level-up (nivel 25),"berry-forest-area,blackthorn-city-area,brooklet-hill-north,brooklet-hill-south,cape-brink-area,celadon-city-area,cerulean-cave-1f,cerulean-cave-2f,cerulean-cave-b1f,cerulean-city-area,challengers-cave-b2f,cinnabar-island-area,clay-tunnel-area,couriway-town-area,ecruteak-city-area,floccesy-ranch-inner,floccesy-ranch-outer,four-island-area,frost-cavern-unknown-area-313,frost-cavern-unknown-area-315,fuchsia-city-area,giant-chasm-area,giant-chasm-forest-cave,icefall-cave-entrance,ilex-forest-area,johto-route-30-area,johto-route-31-area,johto-route-35-area,johto-route-43-area,johto-route-44-area,johto-route-45-area,johto-route-47-cave-gate,johto-safari-zone-zone-marshland,johto-safari-zone-zone-meadow,johto-safari-zone-zone-rocky-beach,johto-safari-zone-zone-wetland,kalos-route-14-area,kalos-route-15-area,kalos-route-16-area,kalos-route-19-area,kalos-route-21-area,kalos-victory-road-unknown-area-322,kalos-victory-road-unknown-area-327,kalos-victory-road-unknown-area-328,kanto-route-10-area,kanto-route-11-area,kanto-route-12-area,kanto-route-13-area,kanto-route-17-area,kanto-route-18-area,kanto-route-22-area,kanto-route-23-area,kanto-route-24-area,kanto-route-25-area,kanto-route-28-area,kanto-route-6-area,kanto-safari-zone-area-1-east,kanto-safari-zone-area-2-north,kanto-safari-zone-area-3-west,kanto-safari-zone-middle,kanto-sea-route-19-area,kanto-sea-route-20-area,kanto-sea-route-21-area,laverre-city-area,lostlorn-forest-area,malie-garden-area,mt-moon-mt-moon-square,mt-silver-outside,pallet-town-area,poke-pelago-elite-four-defeated,poke-pelago-poni-island-reached,poke-pelago-ulaula-island-reached,pokemon-village-area,relic-passage-relic-castle-entrance,ruin-valley-area,ruins-of-alph-outside,seafoam-islands-b3f,seafoam-islands-b4f,sinnoh-route-225-area,sinnoh-route-227-area,sinnoh-route-228-area,unknown-all-poliwag-area,unova-route-19-area,unova-route-20-area,unova-route-23-area,unova-route-6-area,unova-victory-road-1f-unknown-room,unova-victory-road-2-unknown-area-71,unova-victory-road-2-unknown-area-73,unova-victory-road-2-unknown-area-75,unova-victory-road-2-unknown-area-78,unova-victory-road-2-unknown-area-79,unova-victory-road-unknown-area-53,vermilion-city-area,vermilion-city-ss-anne-dock,violet-city-area,viridian-city-area,wellspring-cave-area","black,black-2,blue,crystal,diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,silver,soulsilver,sun,ultra-moon,ultra-sun,white,white-2,x,y,yellow",40,50,40,40,40,90
61,poliwhirl,10,200,135,water,"water-absorb,damp,swift-swim","pound,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam,take-down,double-edge,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,submission,low-kick,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,psychic,hypnosis,rage,mimic,double-team,defense-curl,haze,bide,metronome,waterfall,swift,skull-bash,amnesia,bubble,psywave,splash,rest,substitute,thief,snore,curse,protect,belly-drum,mud-slap,icy-wind,detect,endure,swagger,attract,sleep-talk,return,frustration,encore,hidden-power,rain-dance,psych-up,rock-smash,whirlpool,hail,facade,focus-punch,helping-hand,brick-break,endeavor,secret-power,dive,weather-ball,muddy-water,mud-shot,water-sport,water-pulse,wake-up-slap,natural-gift,fling,earth-power,mud-bomb,captivate,low-sweep,round,scald,bulldoze,confide,power-up-punch,liquidation,tera-blast,chilling-water",4,50.0,50.0,False,120,False,False,generation-i,"fire,ground,rock","electric,grass","fire,ice,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,poliwag,"poliwrath,politoed",True,poliwrath por use-item (objeto water-stone) || politoed por trade (llevando kings-rock),"cape-brink-area,celadon-city-area,cerulean-cave-1f,cerulean-cave-2f,cerulean-cave-b1f,challengers-cave-b2f,clay-tunnel-area,couriway-town-area,ecruteak-city-area,floccesy-ranch-inner,floccesy-ranch-outer,four-island-area,frost-cavern-unknown-area-313,frost-cavern-unknown-area-315,giant-chasm-area,giant-chasm-forest-cave,icefall-cave-entrance,johto-route-30-area,johto-route-31-area,johto-route-44-area,johto-safari-zone-zone-marshland,johto-safari-zone-zone-meadow,johto-safari-zone-zone-rocky-beach,johto-safari-zone-zone-wetland,kalos-route-14-area,kalos-route-15-area,kalos-route-16-area,kalos-route-19-area,kalos-route-21-area,kalos-victory-road-unknown-area-322,kalos-victory-road-unknown-area-327,kalos-victory-road-unknown-area-328,kanto-route-10-area,kanto-route-22-area,kanto-route-23-area,kanto-route-25-area,kanto-route-28-area,kanto-route-6-area,konikoni-city-area,laverre-city-area,lostlorn-forest-area,malie-garden-area,mt-silver-outside,pokemon-village-area,relic-passage-relic-castle-entrance,ruin-valley-area,sinnoh-route-225-area,sinnoh-route-227-area,sinnoh-route-228-area,unova-route-19-area,unova-route-20-area,unova-route-23-area,unova-route-6-area,unova-victory-road-1f-unknown-room,unova-victory-road-2-unknown-area-71,unova-victory-road-2-unknown-area-73,unova-victory-road-2-unknown-area-75,unova-victory-road-2-unknown-area-78,unova-victory-road-2-unknown-area-79,unova-victory-road-unknown-area-53,violet-city-area,viridian-city-area,wellspring-cave-area","black,black-2,blue,crystal,diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,silver,soulsilver,sun,ultra-moon,ultra-sun,white,white-2,x,y,yellow",65,65,65,50,50,90
62,poliwrath,13,540,230,"water,fighting","water-absorb,damp,swift-swim","pound,double-slap,mega-punch,ice-punch,mega-kick,headbutt,body-slam,take-down,double-edge,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,hyper-beam,submission,low-kick,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,psychic,hypnosis,rage,mimic,double-team,defense-curl,haze,bide,metronome,waterfall,swift,skull-bash,amnesia,bubble,psywave,splash,rest,rock-slide,substitute,thief,mind-reader,snore,curse,reversal,protect,scary-face,belly-drum,mud-slap,icy-wind,detect,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,baton-pass,encore,hidden-power,rain-dance,psych-up,rock-smash,whirlpool,hail,facade,focus-punch,taunt,helping-hand,superpower,brick-break,knock-off,endeavor,secret-power,dive,weather-ball,rock-tomb,muddy-water,bulk-up,mud-shot,water-pulse,natural-gift,close-combat,payback,fling,poison-jab,drain-punch,vacuum-wave,focus-blast,earth-power,giga-impact,rock-climb,captivate,low-sweep,round,scald,circle-throw,bulldoze,work-up,dual-chop,confide,power-up-punch,darkest-lariat,high-horsepower,throat-chop,liquidation,coaching,tera-blast,chilling-water,upper-hand",4,50.0,50.0,False,45,False,False,generation-i,"dark,fire,ground,ice,normal,rock,steel","electric,fairy,flying,grass,psychic","bug,dark,fire,ice,rock,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,poliwhirl,,False,,"challengers-cave-b2f,clay-tunnel-area,giant-chasm-area,giant-chasm-forest-cave,kalos-victory-road-unknown-area-328,malie-garden-area,relic-passage-relic-castle-entrance,unova-route-23-area,unova-victory-road-1f-unknown-room,unova-victory-road-2-unknown-area-71,unova-victory-road-2-unknown-area-75,unova-victory-road-2-unknown-area-78,unova-victory-road-unknown-area-53,wellspring-cave-area","black,black-2,moon,sun,ultra-moon,ultra-sun,white,white-2,x,y",90,95,95,70,90,70
63,abra,9,195,62,psychic,"synchronize,inner-focus,magic-guard","mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam,take-down,double-edge,submission,counter,seismic-toss,thunder-wave,toxic,confusion,psychic,rage,teleport,mimic,double-team,barrier,light-screen,reflect,bide,metronome,swift,skull-bash,dream-eater,flash,psywave,rest,tri-attack,substitute,thief,nightmare,snore,curse,protect,zap-cannon,endure,swagger,attract,sleep-talk,return,frustration,safeguard,dynamic-punch,encore,iron-tail,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,torment,facade,focus-punch,taunt,trick,role-play,magic-coat,recycle,knock-off,skill-swap,snatch,secret-power,signal-beam,calm-mind,shock-wave,gravity,natural-gift,embargo,fling,psycho-shift,power-trick,power-swap,guard-swap,drain-punch,energy-ball,zen-headbutt,trick-room,captivate,grass-knot,charge-beam,guard-split,wonder-room,psyshock,telekinesis,magic-room,foul-play,round,ally-switch,confide,dazzling-gleam,psychic-terrain,speed-swap",2,75.0,25.0,False,200,False,False,generation-i,"fighting,poison","bug,dark,ghost","fighting,psychic",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,,kadabra,True,kadabra por level-up (nivel 16),"alola-route-2-south,granite-cave-1f,granite-cave-1fsmall-room,granite-cave-b1f,granite-cave-b2f,hauoli-city-shopping-district,hoenn-route-116-area,johto-route-34-area,johto-route-35-area,johto-safari-zone-zone-plains,kalos-route-5-area,kanto-route-24-area,kanto-route-25-area,kanto-route-5-area,kanto-route-6-area,kanto-route-7-area,kanto-route-8-area,sinnoh-route-203-area,sinnoh-route-215-area","blue,crystal,diamond,emerald,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,ruby,sapphire,silver,soulsilver,sun,ultra-moon,ultra-sun,x,y,yellow",25,20,15,105,55,90
64,kadabra,13,565,140,psychic,"synchronize,inner-focus,magic-guard","mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam,take-down,double-edge,disable,psybeam,submission,counter,seismic-toss,thunder-wave,dig,toxic,confusion,psychic,hypnosis,rage,teleport,night-shade,mimic,double-team,recover,light-screen,reflect,bide,metronome,swift,skull-bash,kinesis,dream-eater,flash,psywave,rest,tri-attack,substitute,thief,nightmare,snore,curse,protect,zap-cannon,endure,swagger,attract,sleep-talk,return,frustration,safeguard,dynamic-punch,encore,iron-tail,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,torment,facade,focus-punch,taunt,trick,role-play,magic-coat,recycle,knock-off,skill-swap,snatch,secret-power,signal-beam,calm-mind,shock-wave,gravity,miracle-eye,natural-gift,embargo,fling,power-swap,guard-swap,drain-punch,energy-ball,psycho-cut,zen-headbutt,trick-room,captivate,grass-knot,charge-beam,wonder-room,psyshock,telekinesis,magic-room,foul-play,round,ally-switch,confide,dazzling-gleam,psychic-terrain,speed-swap,expanding-force",2,75.0,25.0,False,100,False,False,generation-i,"fighting,poison","bug,dark,ghost","fighting,psychic",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,abra,alakazam,True,alakazam por trade (sin condiciones adicionales),"cerulean-cave-1f,cerulean-cave-2f,cerulean-cave-b1f,kanto-route-8-area,poke-pelago-elite-four-defeated,poke-pelago-poni-island-reached,poke-pelago-ulaula-island-reached,sinnoh-route-215-area,sinnoh-victory-road-2f","blue,crystal,diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,silver,soulsilver,sun,yellow",40,35,30,120,70,105
65,alakazam,15,480,225,psychic,"synchronize,inner-focus,magic-guard","mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,body-slam,take-down,double-edge,disable,psybeam,hyper-beam,submission,counter,seismic-toss,thunder-wave,dig,toxic,confusion,psychic,hypnosis,rage,teleport,night-shade,mimic,double-team,recover,barrier,light-screen,reflect,bide,metronome,swift,skull-bash,kinesis,dream-eater,flash,psywave,rest,tri-attack,substitute,thief,nightmare,snore,curse,protect,zap-cannon,endure,swagger,attract,sleep-talk,return,frustration,safeguard,dynamic-punch,encore,iron-tail,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,torment,facade,focus-punch,taunt,trick,role-play,magic-coat,recycle,knock-off,skill-swap,imprison,snatch,secret-power,signal-beam,calm-mind,shock-wave,gravity,miracle-eye,natural-gift,embargo,fling,power-swap,guard-swap,drain-punch,focus-blast,energy-ball,giga-impact,nasty-plot,psycho-cut,zen-headbutt,trick-room,captivate,grass-knot,charge-beam,wonder-room,psyshock,telekinesis,magic-room,foul-play,round,stored-power,ally-switch,confide,dazzling-gleam,laser-focus,psychic-terrain,speed-swap,expanding-force",2,75.0,25.0,False,50,False,False,generation-i,"fighting,poison","bug,dark,ghost","fighting,psychic",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,kadabra,,False,,,,55,50,45,135,95,120
66,machop,8,195,61,fighting,"guts,no-guard,steadfast","karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,rolling-kick,headbutt,tackle,body-slam,take-down,double-edge,leer,flamethrower,submission,low-kick,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,meditate,rage,mimic,double-team,light-screen,focus-energy,bide,metronome,fire-blast,skull-bash,rest,rock-slide,substitute,thief,snore,curse,reversal,protect,mach-punch,scary-face,mud-slap,foresight,detect,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,encore,vital-throw,hidden-power,cross-chop,rain-dance,sunny-day,rock-smash,facade,focus-punch,smelling-salts,helping-hand,role-play,superpower,revenge,brick-break,knock-off,secret-power,rock-tomb,tickle,bulk-up,wake-up-slap,natural-gift,close-combat,payback,fling,power-trick,poison-jab,vacuum-wave,focus-blast,bullet-punch,rock-climb,captivate,double-hit,smack-down,heavy-slam,low-sweep,round,quick-guard,incinerate,retaliate,bulldoze,work-up,dual-chop,confide,power-up-punch,coaching",2,75.0,25.0,False,180,False,False,generation-i,"dark,ice,normal,rock,steel","fairy,flying,psychic","bug,dark,rock",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,,machoke,True,machoke por level-up (nivel 28),"alola-route-2-main,fiery-path-area,glittering-cave-unknown-area-303,hoenn-route-112-area,jagged-pass-area,johto-route-47-inside-cave,johto-safari-zone-zone-wasteland,kanto-route-10-area,kanto-victory-road-2-1f,kanto-victory-road-2-2f,kanto-victory-road-2-3f,mt-coronet-1f-route-207,mt-coronet-1f-route-211,mt-ember-1f-cave-behind-team-rocket,mt-ember-area,mt-ember-cave,mt-ember-inside,mt-mortar-1f,mt-mortar-b1f,mt-mortar-lower-cave,mt-mortar-upper-cave,rock-tunnel-1f,rock-tunnel-b1f,rock-tunnel-b2f,sinnoh-route-206-area,sinnoh-route-207-area,sinnoh-route-208-area,sinnoh-route-210-west-towards-celestic-town,sinnoh-route-211-west-towards-eterna-city,ten-carat-hill-farthest-hollow","blue,crystal,diamond,emerald,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,ruby,sapphire,silver,soulsilver,sun,ultra-moon,ultra-sun,x,y,yellow",70,80,50,35,35,35
67,machoke,15,705,142,fighting,"guts,no-guard,steadfast","karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,leer,flamethrower,submission,low-kick,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,rage,mimic,double-team,light-screen,focus-energy,bide,metronome,fire-blast,skull-bash,rest,rock-slide,substitute,thief,snore,curse,reversal,protect,mach-punch,scary-face,mud-slap,foresight,detect,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,encore,vital-throw,hidden-power,cross-chop,rain-dance,sunny-day,rock-smash,facade,focus-punch,helping-hand,role-play,superpower,revenge,brick-break,knock-off,secret-power,rock-tomb,bulk-up,wake-up-slap,natural-gift,close-combat,payback,fling,poison-jab,vacuum-wave,focus-blast,bullet-punch,rock-climb,captivate,double-hit,smack-down,heavy-slam,low-sweep,round,incinerate,retaliate,bulldoze,work-up,dual-chop,confide,power-up-punch,stomping-tantrum,coaching",2,75.0,25.0,False,90,False,False,generation-i,"dark,ice,normal,rock,steel","fairy,flying,psychic","bug,dark,rock",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,machop,machamp,True,machamp por trade (sin condiciones adicionales),"acuity-lakefront-area,cerulean-cave-1f,cerulean-cave-2f,cerulean-cave-b1f,johto-route-47-inside-cave,johto-safari-zone-zone-wasteland,kanto-victory-road-2-1f,kanto-victory-road-2-2f,kanto-victory-road-2-3f,mt-coronet-1f-from-exterior,mt-coronet-1f-route-216,mt-coronet-2f,mt-coronet-3f,mt-coronet-4f,mt-coronet-4f-small-room,mt-coronet-5f,mt-coronet-6f,mt-coronet-b1f,mt-coronet-exterior-blizzard,mt-coronet-exterior-snowfall,mt-ember-1f-cave-behind-team-rocket,mt-ember-inside,mt-mortar-upper-cave,mt-silver-2f,rock-tunnel-1f,sinnoh-route-210-west-towards-celestic-town,sinnoh-route-211-east-towards-celestic-town,sinnoh-route-216-area,sinnoh-route-217-area,sinnoh-route-225-area,sinnoh-sea-route-226-area,sinnoh-victory-road-1f,sinnoh-victory-road-b1f,sinnoh-victory-road-inside,sinnoh-victory-road-inside-b1f,sinnoh-victory-road-inside-exit,stark-mountain-entrance,stark-mountain-inside,vast-poni-canyon-outside","blue,crystal,diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,silver,soulsilver,sun,ultra-moon,ultra-sun,yellow",80,100,70,50,60,45
68,machamp,16,1300,227,fighting,"guts,no-guard,steadfast","karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,leer,flamethrower,hyper-beam,submission,low-kick,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,rage,mimic,double-team,light-screen,focus-energy,bide,metronome,fire-blast,skull-bash,rest,rock-slide,substitute,thief,snore,curse,reversal,protect,mach-punch,scary-face,mud-slap,foresight,detect,endure,swagger,attract,sleep-talk,return,frustration,dynamic-punch,encore,vital-throw,hidden-power,cross-chop,rain-dance,sunny-day,rock-smash,facade,focus-punch,helping-hand,role-play,superpower,revenge,brick-break,knock-off,secret-power,rock-tomb,bulk-up,rock-blast,wake-up-slap,natural-gift,close-combat,payback,assurance,fling,poison-jab,drain-punch,vacuum-wave,focus-blast,giga-impact,bullet-punch,rock-climb,cross-poison,stone-edge,captivate,double-hit,wide-guard,smack-down,heavy-slam,low-sweep,round,incinerate,retaliate,bulldoze,work-up,dual-chop,confide,power-up-punch,darkest-lariat,high-horsepower,throat-chop,stomping-tantrum,coaching",2,75.0,25.0,False,45,False,False,generation-i,"dark,ice,normal,rock,steel","fairy,flying,psychic","bug,dark,rock",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,machoke,,False,,,,90,130,80,65,85,55
69,bellsprout,7,40,60,"grass,poison","chlorophyll,gluttony","swords-dance,cut,bind,slam,vine-whip,headbutt,wrap,take-down,double-edge,acid,mega-drain,growth,razor-leaf,solar-beam,poison-powder,stun-spore,sleep-powder,toxic,rage,mimic,double-team,reflect,bide,leech-life,flash,rest,substitute,thief,snore,curse,protect,sludge-bomb,giga-drain,endure,swagger,attract,sleep-talk,return,frustration,encore,sweet-scent,synthesis,hidden-power,sunny-day,facade,nature-power,ingrain,knock-off,secret-power,weather-ball,tickle,bullet-seed,magical-leaf,natural-gift,wring-out,gastro-acid,worry-seed,sucker-punch,poison-jab,seed-bomb,energy-ball,leaf-storm,power-whip,captivate,grass-knot,venoshock,sludge-wave,acid-spray,round,clear-smog,belch,grassy-terrain,confide,infestation,strength-sap,lunge,grassy-glide,tera-blast,pounce,trailblaze",4,50.0,50.0,False,255,False,False,generation-i,"fairy,grass,ground,rock,water","bug,fire,flying,ground,ice,poison,psychic","bug,electric,fairy,fighting,grass,ground,poison,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,,weepinbell,True,weepinbell por level-up (nivel 21),"alola-route-5-area,berry-forest-area,bond-bridge-area,cape-brink-area,johto-route-31-area,johto-route-32-area,johto-route-36-area,johto-route-44-area,johto-safari-zone-zone-forest,kanto-route-12-area,kanto-route-13-area,kanto-route-14-area,kanto-route-15-area,kanto-route-24-area,kanto-route-25-area,kanto-route-5-area,kanto-route-6-area,kanto-route-7-area,sinnoh-route-224-area,sinnoh-route-229-area,sinnoh-sea-route-230-area,water-path-area","blue,crystal,diamond,gold,heartgold,leafgreen,moon,pearl,platinum,silver,soulsilver,sun,yellow",50,75,35,70,30,40
