location_area_id,location_area_name,location_name,region,region_map_url,location_type
20,mt-coronet-1f-from-exterior,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
21,mt-coronet-1f-route-216,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
22,mt-coronet-1f-route-211,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
23,mt-coronet-b1f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
24,great-marsh-area-1,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
25,great-marsh-area-2,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
26,great-marsh-area-3,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
27,great-marsh-area-4,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
28,great-marsh-area-5,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
29,great-marsh-area-6,great-marsh,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
30,solaceon-ruins-2f,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
31,solaceon-ruins-1f,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
32,solaceon-ruins-b1f-a,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
33,solaceon-ruins-b1f-b,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
34,solaceon-ruins-b1f-c,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
35,solaceon-ruins-b2f-a,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
36,solaceon-ruins-b2f-b,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
37,solaceon-ruins-b2f-c,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
38,solaceon-ruins-b3f-a,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
39,solaceon-ruins-b3f-b,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
40,solaceon-ruins-b3f-c,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
41,solaceon-ruins-b3f-d,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
42,solaceon-ruins-b3f-e,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
43,solaceon-ruins-b4f-a,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
44,solaceon-ruins-b4f-b,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
45,solaceon-ruins-b4f-c,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
46,solaceon-ruins-b4f-d,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
47,solaceon-ruins-b5f,solaceon-ruins,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
48,sinnoh-victory-road-1f,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
49,sinnoh-victory-road-2f,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
50,sinnoh-victory-road-b1f,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
51,sinnoh-victory-road-inside-b1f,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
52,sinnoh-victory-road-inside,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
53,sinnoh-victory-road-inside-exit,sinnoh-victory-road,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
54,ravaged-path-area,ravaged-path,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
55,oreburgh-gate-1f,oreburgh-gate,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
56,oreburgh-gate-b1f,oreburgh-gate,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
57,stark-mountain-area,stark-mountain,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
58,stark-mountain-entrance,stark-mountain,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
59,stark-mountain-inside,stark-mountain,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
60,sendoff-spring-area,sendoff-spring,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
61,turnback-cave-pillar-1,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
62,turnback-cave-pillar-2,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
63,turnback-cave-pillar-3,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
64,turnback-cave-before-pillar-1,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
65,turnback-cave-between-pillars-1-and-2,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
66,turnback-cave-between-pillars-2-and-3,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
67,turnback-cave-after-pillar-3,turnback-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
68,snowpoint-temple-1f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
69,snowpoint-temple-b1f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
70,snowpoint-temple-b2f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
71,snowpoint-temple-b3f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
72,snowpoint-temple-b4f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
73,snowpoint-temple-b5f,snowpoint-temple,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
74,wayward-cave-1f,wayward-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
75,wayward-cave-b1f,wayward-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
76,ruin-maniac-cave-0-9-different-unown-caught,ruin-maniac-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
77,ruin-maniac-cave-10-25-different-unown-caught,ruin-maniac-cave,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
78,maniac-tunnel-26-plus-different-unown-caught,maniac-tunnel,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
79,trophy-garden-area,trophy-garden,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
80,iron-island-area,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
81,iron-island-1f,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
82,iron-island-b1f-left,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
83,iron-island-b1f-right,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
84,iron-island-b2f-right,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
85,iron-island-b2f-left,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
86,iron-island-b3f,iron-island,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
87,old-chateau-entrance,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
88,old-chateau-dining-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
89,old-chateau-2f-private-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
90,old-chateau-2f,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
91,old-chateau-2f-leftmost-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
92,old-chateau-2f-left-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
93,old-chateau-2f-middle-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
94,old-chateau-2f-right-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
95,old-chateau-2f-rightmost-room,old-chateau,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
96,lake-verity-before-galactic-intervention,lake-verity,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
97,lake-verity-after-galactic-intervention,lake-verity,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
98,lake-valor-area,lake-valor,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
99,lake-acuity-area,lake-acuity,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
100,valor-lakefront-area,valor-lakefront,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
101,acuity-lakefront-area,acuity-lakefront,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
102,sinnoh-route-201-area,sinnoh-route-201,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
103,sinnoh-route-202-area,sinnoh-route-202,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
104,sinnoh-route-203-area,sinnoh-route-203,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
105,sinnoh-route-204-south-towards-jubilife-city,sinnoh-route-204,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
106,sinnoh-route-204-north-towards-floaroma-town,sinnoh-route-204,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
107,sinnoh-route-205-south-towards-floaroma-town,sinnoh-route-205,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
108,sinnoh-route-205-east-towards-eterna-city,sinnoh-route-205,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
109,sinnoh-route-206-area,sinnoh-route-206,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
110,sinnoh-route-207-area,sinnoh-route-207,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
111,sinnoh-route-208-area,sinnoh-route-208,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
112,sinnoh-route-209-area,sinnoh-route-209,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
113,lost-tower-1f,lost-tower,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
114,lost-tower-2f,lost-tower,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
115,lost-tower-3f,lost-tower,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
116,lost-tower-4f,lost-tower,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
117,lost-tower-5f,lost-tower,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
118,sinnoh-route-210-south-towards-solaceon-town,sinnoh-route-210,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
119,sinnoh-route-210-west-towards-celestic-town,sinnoh-route-210,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
120,sinnoh-route-211-west-towards-eterna-city,sinnoh-route-211,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
121,sinnoh-route-211-east-towards-celestic-town,sinnoh-route-211,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
122,sinnoh-route-212-north-towards-hearthome-city,sinnoh-route-212,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
123,sinnoh-route-212-east-towards-pastoria-city,sinnoh-route-212,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
124,sinnoh-route-213-area,sinnoh-route-213,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
125,sinnoh-route-214-area,sinnoh-route-214,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
126,sinnoh-route-215-area,sinnoh-route-215,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
127,sinnoh-route-216-area,sinnoh-route-216,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
128,sinnoh-route-217-area,sinnoh-route-217,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
129,sinnoh-route-218-area,sinnoh-route-218,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
130,sinnoh-route-219-area,sinnoh-route-219,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
131,sinnoh-route-221-area,sinnoh-route-221,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
132,sinnoh-route-222-area,sinnoh-route-222,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
133,sinnoh-route-224-area,sinnoh-route-224,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
134,sinnoh-route-225-area,sinnoh-route-225,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
135,sinnoh-route-227-area,sinnoh-route-227,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
136,sinnoh-route-228-area,sinnoh-route-228,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
137,sinnoh-route-229-area,sinnoh-route-229,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
138,twinleaf-town-area,twinleaf-town,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
139,celestic-town-area,celestic-town,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
140,resort-area-area,resort-area,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
141,sinnoh-sea-route-220-area,sinnoh-sea-route-220,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
142,sinnoh-sea-route-223-area,sinnoh-sea-route-223,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
143,sinnoh-sea-route-226-area,sinnoh-sea-route-226,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
144,sinnoh-sea-route-230-area,sinnoh-sea-route-230,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
145,new-bark-town-area,new-bark-town,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
146,johto-route-29-area,johto-route-29,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
147,cherrygrove-city-area,cherrygrove-city,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
148,johto-route-30-area,johto-route-30,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
149,johto-route-31-area,johto-route-31,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
150,violet-city-area,violet-city,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
151,sprout-tower-2f,sprout-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
152,sprout-tower-3f,sprout-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
153,johto-route-32-area,johto-route-32,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
154,ruins-of-alph-outside,ruins-of-alph,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
155,ruins-of-alph-interior-a,ruins-of-alph,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
156,ruins-of-alph-interior-b,ruins-of-alph,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
157,ruins-of-alph-interior-c,ruins-of-alph,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
158,ruins-of-alph-interior-d,ruins-of-alph,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
159,union-cave-1f,union-cave,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
160,union-cave-b1f,union-cave,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
161,union-cave-b2f,union-cave,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
162,johto-route-33-area,johto-route-33,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
163,slowpoke-well-1f,slowpoke-well,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
164,slowpoke-well-b1f,slowpoke-well,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
165,ilex-forest-area,ilex-forest,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
166,johto-route-34-area,johto-route-34,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
167,johto-route-35-area,johto-route-35,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
168,national-park-area,national-park,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
169,unknown-all-bugs-area,unknown-all-bugs,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
170,johto-route-36-area,johto-route-36,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
171,johto-route-37-area,johto-route-37,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
172,ecruteak-city-area,ecruteak-city,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
173,burned-tower-1f,burned-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
174,burned-tower-b1f,burned-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
175,bell-tower-2f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
176,bell-tower-3f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
177,bell-tower-4f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
178,bell-tower-5f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
179,bell-tower-6f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
180,bell-tower-7f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
181,bell-tower-8f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
182,bell-tower-9f,bell-tower,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,special
183,johto-route-38-area,johto-route-38,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
184,johto-route-39-area,johto-route-39,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
185,olivine-city-area,olivine-city,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
186,johto-sea-route-40-area,johto-sea-route-40,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
187,johto-sea-route-41-area,johto-sea-route-41,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
188,whirl-islands-1f,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
189,whirl-islands-b1f,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
190,whirl-islands-empty-floor-x,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
191,whirl-islands-b2f,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
192,whirl-islands-empty-floor-y,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
193,whirl-islands-b3f,whirl-islands,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
194,cianwood-city-area,cianwood-city,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
195,johto-route-42-area,johto-route-42,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
196,mt-mortar-1f,mt-mortar,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
197,mt-mortar-lower-cave,mt-mortar,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
198,mt-mortar-upper-cave,mt-mortar,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
199,mt-mortar-b1f,mt-mortar,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
200,johto-route-43-area,johto-route-43,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
201,lake-of-rage-area,lake-of-rage,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
202,johto-route-44-area,johto-route-44,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
203,ice-path-1f,ice-path,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
204,ice-path-b1f,ice-path,johto,https://upload.wikimedia.org/wikipedia/commons/7/70/Johto_Map.png,geographic
